x_m,y_m,w_tr_left_m,w_tr_right_m
-0.442906,0.0338,7.325394,7.325394
-4.865601,0.2259,7.431443,7.431443
-9.65719,0.0937,7.900091,7.900091
-14.503337,0.2115,8.123295,8.123295
-19.888896,0.3307,8.188807,8.188807
-24.760898,0.3648,8.189005,8.189005
-29.632901,0.3988,8.189202,8.189202
-34.504904,0.4328,8.189399,8.189399
-39.366907,0.4694,8.189786,8.189786
-44.238863,0.5096,8.189695,8.189695
-49.110818,0.5499,8.189604,8.189604
-53.994873,0.5874,8.186684,8.186684
-58.866852,0.6241,8.182999,8.182999
-63.738846,0.6586,8.181484,8.181484
-68.655447,0.6834,8.180848,8.180848
-73.527515,0.6993,8.1714,8.1714
-78.842477,0.6461,8.104335,8.104335
-83.706933,0.5291,7.961801,7.961801
-88.57139,0.4121,7.819267,7.819267
-92.957139,0.3922,7.763207,7.763207
-97.828593,0.459,7.739965,7.739965
-102.699996,0.5291,7.713483,7.713483
-107.571398,0.5991,7.687002,7.687002
-112.44675,0.6687,7.660029,7.660029
-117.240193,0.9161,7.452971,7.452971
-122.112132,0.9584,7.451787,7.451787
-127.014072,1.0001,7.449887,7.449887
-131.886048,1.0325,7.438894,7.438894
-136.758025,1.0649,7.427902,7.427902
-141.630001,1.0974,7.41691,7.41691
-146.478873,1.1421,7.404787,7.404787
-151.350577,1.1971,7.38624,7.38624
-156.222282,1.2522,7.367692,7.367692
-161.093986,1.3073,7.349145,7.349145
-165.977942,1.353,7.334349,7.334349
-170.850001,1.3742,7.341547,7.341547
-175.722061,1.3955,7.348744,7.348744
-180.584488,1.4171,7.356349,7.356349
-185.456516,1.4415,7.366735,7.366735
-190.328543,1.466,7.377122,7.377122
-195.20056,1.4934,7.384541,7.384541
-200.072548,1.5294,7.383399,7.383399
-204.955746,1.5641,7.380949,7.380949
-209.827753,1.5964,7.37611,7.37611
-214.699761,1.6287,7.371272,7.371272
-219.571768,1.6609,7.366434,7.366434
-224.443776,1.6932,7.361595,7.361595
-229.283425,1.7275,7.369088,7.369088
-234.155358,1.7604,7.384973,7.384973
-239.02729,1.7934,7.400859,7.400859
-243.899223,1.8263,7.416745,7.416745
-248.682213,1.9109,7.421175,7.421175
-253.538032,2.1835,7.253572,7.253572
-257.939622,2.6781,6.98014,6.98014
-262.73406,3.366,6.677495,6.677495
-267.079705,4.1723,6.490415,6.490415
-271.865282,5.0422,6.32832,6.32832
-276.231256,5.9044,6.256269,6.256269
-280.99541,6.9242,6.268075,6.268075
-285.7594,7.9447,6.279072,6.279072
-290.523082,8.9668,6.288553,6.288553
-295.254914,9.9907,6.306638,6.306638
-300.01598,11.0244,6.327993,6.327993
-304.777047,12.058,6.349347,6.349347
-309.536098,13.1013,6.360849,6.360849
-314.292975,14.1478,6.36913,6.36913
-319.051209,15.1949,6.377816,6.377816
-323.809442,16.2421,6.386502,6.386502
-328.567676,17.2893,6.395189,6.395189
-333.328199,18.3254,6.415137,6.415137
-338.047062,19.3551,6.447557,6.447557
-342.804863,20.402,6.488156,6.488156
-347.562663,21.4489,6.528755,6.528755
-352.320464,22.4958,6.569355,6.569355
-357.12023,23.5449,6.602934,6.602934
-361.879761,24.5857,6.619296,6.619296
-366.637114,25.6369,6.625008,6.625008
-371.394467,26.6882,6.63072,6.63072
-376.136515,27.7386,6.639058,6.639058
-380.892641,28.7953,6.65031,6.65031
-385.649355,29.849,6.664508,6.664508
-390.426673,30.8823,6.701653,6.701653
-395.188506,31.9118,6.728901,6.728901
-399.946182,32.9616,6.735502,6.735502
-404.703859,34.0113,6.742103,6.742103
-409.442037,35.0612,6.753111,6.753111
-414.198191,36.1176,6.766566,6.766566
-418.954344,37.174,6.780021,6.780021
-423.711093,38.2275,6.796465,6.796465
-428.471992,39.2606,6.833739,6.833739
-433.263202,40.2916,6.862433,6.862433
-438.026482,41.3147,6.889369,6.889369
-442.789761,42.3377,6.916306,6.916306
-447.553041,43.3607,6.943242,6.943242
-452.425913,44.3934,6.957035,6.957035
-457.19798,45.3756,6.949282,6.949282
-462.347538,46.3692,6.887199,6.887199
-467.138514,47.2212,6.747832,6.747832
-472.14855,48.0821,6.598648,6.598648
-476.971051,48.7483,6.487123,6.487123
-481.793552,49.4144,6.375598,6.375598
-486.616053,50.0805,6.264072,6.264072
-491.54279,50.7225,6.117475,6.117475
-496.367381,51.3486,5.965868,5.965868
-501.191972,51.9746,5.814261,5.814261
-506.044767,52.5287,5.726304,5.726304
-510.887657,53.0514,5.666396,5.666396
-515.730547,53.5741,5.606487,5.606487
-520.573437,54.0968,5.546578,5.546578
-525.345686,54.641,5.51526,5.51526
-530.186076,55.1938,5.485501,5.485501
-535.307491,55.7142,5.460573,5.460573
-540.172981,55.9642,5.487101,5.487101
-545.03847,56.2141,5.513629,5.513629
-549.90396,56.4641,5.540157,5.540157
-555.032965,56.6882,5.532179,5.532179
-559.900799,56.823,5.443478,5.443478
-564.769289,56.912,5.40047,5.40047
-569.639498,56.8813,5.477247,5.477247
-574.509708,56.8506,5.554025,5.554025
-579.782281,56.708,5.529704,5.529704
-584.646896,56.5006,5.429584,5.429584
-589.511511,56.2932,5.329464,5.329464
-594.375965,56.0649,5.250217,5.250217
-599.431242,55.7394,5.17806,5.17806
-604.284869,55.3761,5.051733,5.051733
-609.138496,55.0128,4.925407,4.925407
-613.951782,54.5859,4.874359,4.874359
-618.805005,54.1594,4.849911,4.849911
-623.658068,53.7306,4.827734,4.827734
-628.511132,53.3018,4.805557,4.805557
-633.364196,52.873,4.783379,4.783379
-638.235957,52.4406,4.759389,4.759389
-643.086821,51.989,4.740701,4.740701
-647.934786,51.505,4.75454,4.75454
-652.78275,51.0211,4.768379,4.768379
-657.630714,50.5371,4.782218,4.782218
-662.478679,50.0531,4.796058,4.796058
-667.337723,49.5622,4.804115,4.804115
-672.185134,49.0723,4.812025,4.812025
-677.032543,48.5824,4.819956,4.819956
-681.879951,48.0925,4.8279,4.8279
-686.743957,47.5932,4.828188,4.828188
-691.590491,47.0946,4.82733,4.82733
-696.437025,46.5959,4.826472,4.826472
-701.283559,46.0972,4.825614,4.825614
-706.130042,45.598,4.825247,4.825247
-710.960088,45.1044,4.837184,4.837184
-715.806961,44.6095,4.849574,4.849574
-720.653834,44.1146,4.861963,4.861963
-725.500707,43.6197,4.874353,4.874353
-730.34758,43.1248,4.886742,4.886742
-735.186151,42.6353,4.901546,4.901546
-740.033931,42.1493,4.913696,4.913696
-744.881711,41.6633,4.925845,4.925845
-749.72949,41.1774,4.937995,4.937995
-754.57727,40.6914,4.950145,4.950145
-759.460084,40.1981,4.958515,4.958515
-764.306125,39.6948,4.953184,4.953184
-769.146502,39.145,4.994575,4.994575
-773.98625,38.5901,5.041149,5.041149
